cluster_id,cluster_label,section,items_covered,n_yes,n_no,n_na,n_total,proportion,ci_lower,ci_upper,proportion_pct,ci_lower_pct,ci_upper_pct
C01,AI identification & abstract completeness,Title/Abstract,1–2,74,34,0,108,0.6851851851851852,0.5925128648973632,0.765135809656649,68.5,59.3,76.5
C02,Background & study objectives,Introduction,3–5,97,11,0,108,0.8981481481481481,0.8267733718798516,0.9421712784112743,89.8,82.7,94.2
C03,Study design & data sources,Methods,6–9,56,52,0,108,0.5185185185185185,0.4252769806921216,0.6104878867632796,51.9,42.5,61.0
C04,Participants & image acquisition,Methods,10–13,41,67,0,108,0.37962962962962965,0.2937277340547486,0.4738006274851435,38.0,29.4,47.4
C05,Ground truth & annotation,Methods,14–16,47,60,1,107,0.4392523364485981,0.3489394134727517,0.5337761012798321,43.9,34.9,53.4
C06,Data partitioning & class handling,Methods,17–21,42,64,2,106,0.39622641509433965,0.30831324145963807,0.49139834322230397,39.6,30.8,49.1
C07,Model architecture & training,Methods,22–26,65,43,0,108,0.6018518518518519,0.5075620937035107,0.6891446773011959,60.2,50.8,68.9
C08,Evaluation design & fairness,Methods,27–31,37,71,0,108,0.3425925925925926,0.2598782635387472,0.4361203630903425,34.3,26.0,43.6
C09,Performance & external validation,Results,32–36,46,61,1,107,0.42990654205607476,0.34013913708365806,0.5245326107077849,43.0,34.0,52.5
C10,Demographic & subgroup reporting,Results,37–39,14,92,2,106,0.1320754716981132,0.08033131841647077,0.20955520909223263,13.2,8.0,21.0
C11,"Limitations, implications & future work",Discussion,40–42,95,13,0,108,0.8796296296296297,0.8048897418161577,0.928290041019567,88.0,80.5,92.8
C12,Reproducibility & funding disclosure,Other Information,43–44,26,82,0,108,0.24074074074074073,0.169910773525579,0.329381082098804,24.1,17.0,32.9
